,CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
1227847,10-1-084204,-74.0469,283.793,-74.0488,283.791,5.03782,0.13381300000000002,5.52088,4.72235,0.518031,1.1691,94.8806,0.00033198099999999996,0.0008105710000000001,0.0244305,0.0155615,1.19507,0.00779237,0.00645025,0.84305,39
1227856,10-1-084214,-74.2968,282.086,-74.2988,282.08299999999997,6.32223,0.08604810000000002,6.556760000000001,6.20833,0.321651,1.0561200000000002,67.6254,0.00122965,0.00145628,0.0708934,0.0340795,7.021560000000001,0.0337986,0.0128065,0.722214,49
1227889,10-1-084251,-74.8035,282.221,-74.8039,282.221,9.23718,0.05556609999999999,9.30028,9.18769,0.155133,1.01225,108.455,0.00062656,0.00325165,0.0495086,0.0387832,21.0783,0.0427399,0.00687713,0.726973,46
1227915,10-1-084278,-73.8026,280.108,-73.8037,280.106,5.97381,0.349392,6.9448,5.00777,0.6928489999999999,1.3868,37.6291,0.0008411219999999999,0.00282221,0.0612956,0.0527621,1.5543799999999999,0.010314700000000001,0.0190608,0.874273,60
1227976,10-1-084347,-73.1645,280.27,-73.1644,280.269,5.99038,0.219442,6.49151,5.25669,0.586735,1.2349,117.52799999999999,0.00041029300000000005,0.00104649,0.0224572,0.0331242,1.28451,0.00803399,0.00887714,0.56672,42
1227996,10-1-084371,-72.8777,280.091,-72.8797,280.072,5.72244,0.15321300000000002,5.97075,5.0898699999999995,0.52278,1.17307,101.626,0.000361184,0.00163474,0.0240739,0.0401389,1.36351,0.0123119,0.0103898,0.7552989999999999,47
1228000,10-1-084375,-73.4008,281.814,-73.4008,281.81,5.60781,0.0942451,5.9068,5.28958,0.44505,1.11669,61.4569,0.000431036,0.000890371,0.023647400000000002,0.0213968,2.00966,0.010255,0.00635531,0.740896,43
1228033,10-1-084410,-72.8522,281.33,-72.8545,281.337,5.5602599999999995,0.202434,5.9267,5.33231,0.436489,1.1114700000000002,126.353,0.00147526,0.0048561,0.137344,0.077703,6.893089999999999,0.0507668,0.030426099999999998,0.824508,45
1228038,10-1-084415,-72.6013,280.536,-72.601,280.535,5.25162,0.0446458,5.32534,5.14536,0.257782,1.03498,51.5726,0.000191751,0.000674798,0.0130993,0.0162167,3.6564099999999997,0.0144786,0.00413784,0.8845139999999999,42
1228039,10-1-084416,-72.7792,280.801,-72.7784,280.806,5.31454,0.23362399999999997,5.74516,4.82141,0.543804,1.19159,153.255,0.00102267,0.00386169,0.0834839,0.07589960000000001,4.00166,0.027745599999999995,0.0255283,0.913409,51
